Timestamp,"JOB SATISFACTION LEVEL (1-EXCELLENT,3-AVERAGE,5-VERY BAD)",SALARY EXPECTATION? (NOTE: LIKE THIS 20000),WORK LIFE BALANCE SATISFACTION,COMMUTE TIME? (note : in minutes),NUMBER OF YEARS IN CURRENT JOB?,WILL YOU SWITCH YOUR JOB?
Timestamp,3,18000,YES,20,2,WILL STAY
Timestamp,5,100000,YES,120,10,WILL STAY
Timestamp,3,35000,YES,50,5,WILL SWITCH
Timestamp,3,10000,YES,10,4,WILL SWITCH
Timestamp,5,30,YES,30,4,WILL STAY
Timestamp,1,300000,YES,50,3,WILL SWITCH
Timestamp,4,45000,YES,35,2,WILL SWITCH
Timestamp,5,90000,YES,30,3,WILL STAY
Timestamp,4,20000,YES,50,2,WILL STAY
Timestamp,4,30000,YES,120,3,WILL STAY
Timestamp,3,60000,YES,50,6,WILL SWITCH
Timestamp,3,50000,YES,30,5,WILL STAY
Timestamp,3,30000,YES,6,2,WILL STAY
Timestamp,3,50000,NO,30,4,WILL SWITCH
Timestamp,3,50000,NO,40,5,WILL STAY
Timestamp,4,40,NO,20,6,WILL STAY
Timestamp,3,60000,YES,60,6,WILL STAY
Timestamp,4,70000,NO,40,7,WILL STAY
Timestamp,3,30000,NO,40,7,WILL STAY
Timestamp,3,50000,NO,10,7,WILL STAY
Timestamp,3,50000,NO,10,7,WILL STAY
Timestamp,1,10000,YES,10,7,WILL STAY
Timestamp,1,10000,YES,10,5,WILL SWITCH
Timestamp,3,40000,NO,40,4,WILL SWITCH
Timestamp,3,40000,YES,40,5,WILL SWITCH
Timestamp,4,70000,YES,12,9,WILL SWITCH
Timestamp,4,70000,NO,14,7,WILL STAY
Timestamp,1,200000,YES,64,3,
Timestamp,5,80000,NO,360,5,WILL STAY
Timestamp,3,70000,YES,50,7,WILL STAY
Timestamp,5,70000,YES,70,4,WILL STAY
Timestamp,4,60,NO,60,6,WILL SWITCH
Timestamp,3,10000,YES,30,8,WILL SWITCH
Timestamp,2,80000,NO,50,6,WILL SWITCH
Timestamp,3,60000,YES,40,5,WILL STAY
Timestamp,2,100000,YES,8,5,WILL SWITCH
Timestamp,3,30000,YES,40,5,WILL SWITCH
Timestamp,3,50000,NO,30,7,WILL SWITCH
Timestamp,3,40000,YES,45,7,WILL SWITCH
Timestamp,4,50000,YES,70,5,WILL STAY
Timestamp,3,60000,YES,40,6,WILL SWITCH
Timestamp,5,70000,NO,50,5,WILL STAY
Timestamp,2,60000,YES,30,6,WILL SWITCH
Timestamp,4,80000,YES,38,4,WILL STAY
Timestamp,3,50000,NO,45,7,WILL STAY
